num,date_visited,name,state,country,description,date_established,latitude,longtitude,pic,color,icon
37,,Hawaii Volcanoes,Hawaii,United States,"This park on the Big Island protects the K?lauea and Mauna Loa volcanoes, two of the world's most active. Diverse ecosystems of the park range from those at sea level to 13,000 feet (4,000 m).",1916-08-01,19.4,-155.3,,grey,to_be_visited
38,,Hot Springs,Arkansas,United States,"The only National Park in an urban area, this smallest National Park is based around the natural hot springs that have been managed for public use. Bathhouse Row preserves 47 of these with many beneficial minerals.",1921-03-04,34.3796,-93.0221,,grey,to_be_visited
39,,Isle Royale,Michigan,United States,"The largest island in Lake Superior, this park is a site of isolation and wilderness. It has many shipwrecks, waterways, and hiking trails. The park also includes over 400 smaller islands in the waters up to 4.5 miles (7.2 km) from the island. There are only 20 mammal species and it is known for its wolf and moose relationship.",1931-03-03,47.9624,-88.8917,,grey,to_be_visited
40,,Katmai,Alaska,United States,"This park on the Alaska Peninsula protects the Valley of Ten Thousand Smokes, an ash flow formed by the 1912 eruption of Novarupta, as well as Mount Katmai. Over 2,000 grizzly bears come here to catch spawning salmon.",1980-12-02,58.58305,-154.88689,,grey,to_be_visited
41,,Kenai Fjords,Alaska,United States,"Near Seward on the Kenai Peninsula, this park protects the Harding Icefield and at least 38 glaciers and fjords stemming from it. The only area accessible to the public by road is Exit Glacier, while the rest can only be viewed by boat tours.",1980-12-02,59.85136,-150.08632,,grey,to_be_visited
42,,Kings Canyon,California,United States,"Home to several Giant sequoia groves and the General Grant Tree, the world's second largest, this park also has part of the Kings River, site of the granite Kings Canyon, and San Joaquin River, as well as the Boyden Cave.",1940-03-04,36.8481,-118.3574,,grey,to_be_visited
43,,Kobuk Valley,Alaska,United States,"Kobuk Valley has 61 miles (98 km) of the Kobuk River and three regions of sand dunes. Created by glaciers, the Great Kobuk, the Little Kobuk, and the Hunt River Sand Dunes can reach 100 feet (30 m) high and 100 °F (38 °C), and they are the largest dunes in the arctic. Twice a year, half a million caribou migrate through the dunes and across river bluffs that contain ice age fossils.",1980-12-02,67.34409,-159.13696,,grey,to_be_visited
44,,Lake Clark,Alaska,United States,"The region around Lake Clark has four active volcanoes, including Mount Redoubt, rivers, glaciers, and waterfalls. There are temperate rainforests, a tundra plateau, and three mountain ranges.",1980-12-02,60.19943,-154.32394,,grey,to_be_visited
45,,Mammoth Cave,Kentucky,United States,"With 392 miles (631 km) of passageways mapped, Mammoth Cave is by far the world's longest cave system. Cave animals include eight bat species, Kentucky cave shrimp, Northern cavefish, and cave salamanders. Above ground, the park contains Green River (Kentucky), 70 miles of hiking trails, sinkholes, and springs.",1941-07-01,37.104,-86.1839,,grey,to_be_visited
46,,Mesa Verde,Colorado,United States,"This area has over 4,000 archaeological sites of the Ancestral Pueblo, who lived here for 700 years. Cliff dwellings built in the 12th and 13th centuries include Cliff Palace, which has 150 rooms and 23 kivas, and the Balcony House, with passages and tunnels.",1906-06-29,37.1824,-108.3871,,grey,to_be_visited
47,,Mount Rainier,Washington,United States,"Mount Rainier, an active volcano, is the most prominent peak in the Cascades, and it is covered by 26 named glaciers including Carbon Glacier and Emmons Glacier, the largest in the continental United States. The mountain is popular for climbing, and more than half of the park is covered by subalpine and alpine forests. Paradise on the south slope is one of the snowiest places in the world, and the Longmire visitor center is the start of the Wonderland Trail, which encircles the mountain.",1899-03-02,46.7981,-121.4762,,grey,to_be_visited
48,,North Cascades,Washington,United States,"This complex includes the two units of the National Park and the Ross Lake and Lake Chelan National Recreation Areas. There are numerous glaciers, and popular hiking and climbing areas are Cascade Pass, Mount Shuksan, Mount Triumph, and Eldorado Peak.",1968-10-02,48.4004,-121.0219,,grey,to_be_visited
49,,Olympic,Washington,United States,"Situated on the Olympic Peninsula, this park ranges from Pacific shoreline with tide pools to temperate rainforests to Mount Olympus. The glaciated Olympic Mountains overlook the Hoh Rain Forest and Quinault Rain Forest, the wettest area of the continental United States.",1938-06-29,47.6948,-123.5455,,grey,to_be_visited
50,,Petrified Forest,Arizona,United States,"This portion of the Chinle Formation has a great concentration of 225-million-year-old petrified wood. The surrounding region, the Painted Desert, has eroded red-hued volcanic rock called bentonite. There are also dinosaur fossils and over 350 Native American sites.",1962-12-09,34.8892,-109.7964,,grey,to_be_visited
51,,Rocky Mountain,Colorado,United States,"This section of the Rocky Mountains has ecosystems varying in elevation from the over 150 riparian lakes to Montane and subalpine forests to the alpine tundra. Large wildlife including mule deer, bighorn sheep, black bears, and cougars inhabit these igneous mountains and glacier valleys. The fourteener Longs Peak and Bear Lake are popular destinations.",1915-01-26,40.3576,-105.8307,,grey,to_be_visited
52,,Saguaro,Arizona,United States,"Split into the separate Rincon Mountain and Tucson Mountain Districts, the dry Sonoran Desert is still home to much life in six biotic communities. Beyond the namesake Giant Saguaro cacti, there are barrel cacti, cholla cacti, and prickly pears, as well as Lesser Long-nosed Bats, Spotted Owls, and javelinas.",1994-10-14,32.2432,-111.1309,,grey,to_be_visited
53,,Sequoia,California,United States,"This park protects the Giant Forest, which has the world's largest tree, General Sherman, as well as four of the next nine. It also has over 240 caves, the tallest mountain in the continental U.S., Mount Whitney, and the granite dome Moro Rock.",1890-09-25,36.5231,-118.552,,grey,to_be_visited
54,,Shenandoah,Virginia,United States,Shenandoah's Blue Ridge Mountains are covered by hardwood forests that are home to tens of thousands of animals. The Skyline Drive and Appalachian Trail run the entire length of this narrow park that has more than 500 miles (800 km) of hiking trails along scenic overlooks and waterfalls of the Shenandoah River.,1926-05-22,38.2604,-78.7041,,grey,to_be_visited
55,,Theodore Roosevelt,North Dakota,United States,"This region that enticed and influenced President Theodore Roosevelt is now a park of three units in the badlands. Besides Roosevelt's historic cabin, there are scenic drives and backcountry hiking opportunities. Wildlife includes American Bison, pronghorns, Bighorn sheep, and wild horses.",1978-11-10,47.3352,-103.2491,,grey,to_be_visited
56,,Virgin Islands,United States Virgin Islands,United States,"The island of Saint John has rich human and natural history. There are Taino archaeological sites and ruins of sugar plantations from Columbus's time. Past the pristine beaches are mangroves, seagrass beds, coral reefs and algal plains.",1956-08-02,18.35308,-64.72471,,grey,to_be_visited
57,,Voyageurs,Minnesota,United States,"This park on four main lakes, a site for canoeing, kayaking, and fishing, has a history of Ojibwe Native Americans, French fur traders called voyageurs, and a gold rush. Formed by glaciers, this region has tall bluffs, rock gardens, islands and bays, and historic buildings.",1971-01-08,48.0996,-93.0169,,grey,to_be_visited
58,,Wind Cave,South Dakota,United States,"Wind Cave is distinctive for its calcite fin formations called boxwork and needle-like growths called frostwork. The cave, which was discovered by the sound of wind coming from a hole in the ground, is the world's densest cave system. Above ground is a mixed-grass prairie with animals such as bison, black-footed ferrets, and prairie dogs, and Ponderosa pine forests home to cougars and elk.",1903-01-09,43.4348,-102.8731,,grey,to_be_visited
59,,Wrangell St Elias,Alaska,United States,"This mountainous land has the convergence of the Alaska, Chugach, and Wrangell-Saint Elias Ranges, which have many of the continent's tallest mountains over 16,000 feet (4,900 m), including Mount Saint Elias. More than 25% of this park of volcanic peaks is covered with glaciers, including the tidewater Hubbard Glacier, piedmont Malaspina Glacier, and valley Nabesna Glacier.",1980-12-02,59.54778,-139.72362,,grey,to_be_visited
